poll,month,subgroup,num_yes,num_hesitant,num_no,total
echleon,5,black,80,27,30,137
echleon,5,white,579,81,150,810
echleon,5,hispanic,85,16,16,117
echleon,5,aapi,38,4,2,44
echleon,4,black,95,29,44,168
echleon,4,white,446,89,130,665
echleon,4,hispanic,71,23,19,113
echleon,4,aapi,34,0,0,34
yougov,5,black,106,27,25,158
yougov,5,hispanic,86,21,19,126
yougov,4,black,53,18,13,84
yougov,4,hispanic,60,6,15,81
marist,5,black,103,5,29,137
marist,5,hispanic,129,6,52,187
yougov,3,black,98,49,42,189
yougov,3,hispanic,81,36,27,144
yougov,3,black,90,32,39,161
yougov,3,hispanic,70,20,29,119
yougov,3,black,150,76,68,294
yougov,3,hispanic,195,99,74,368
yougov,4,black,109,29,44,182
yougov,4,hispanic,131,18,35,184
yougov,4,black,111,44,46,201
yougov,4,hispanic,154,38,31,223
yougov,2,black,67,54,60,181
yougov,2,hispanic,81,46,38,165
yougov,2,black,77,53,59,189
yougov,2,hispanic,51,39,27,117
